Time - Plot 0,Amplitude - Plot 0,Time - vactual,Amplitude - vactual
0,5.15915,0,5.31332
1,4.9622,1,5.10969
2,4.39358,2,4.63303
3,3.72723,3,3.99825
4,3.04462,4,3.31875
5,2.39964,5,2.58013
6,1.82123,6,2.02055
7,1.33072,7,1.48154
8,0.926094,8,1.02618
9,0.60537,9,0.685593
10,0.36128,10,0.411606
11,0.181945,11,0.219424
12,0.0568758,12,0.0767572
13,-0.0255309,13,-0.00109238
14,-0.0744115,14,-0.0462754
15,-0.0991099,15,-0.0591598
16,-0.10655,16,-0.0717053
17,-0.103241,17,-0.0524405
18,-0.0924439,18,-0.0490447
19,-0.0788004,19,-0.0457518
20,-0.064001,20,-0.0426212
21,-0.0495115,21,-0.039687
22,-0.0362378,22,-0.0369645
23,-0.0246699,23,-0.0344558
24,-0.0150016,24,-0.0321537
25,-0.00722624,25,-0.0300459
26,-0.00121002,26,-0.0281165
27,0.00325184,27,-0.026349
28,0.00639556,28,-0.0247265
29,0.00846122,29,-0.0232332
30,0.0096752,30,-0.0218546
31,0.0102399,31,-0.0205779
32,0.0103288,32,-0.0193916
33,0.0100855,33,-0.0182862
34,0.00962451,34,-0.0172534
35,0.00903466,35,-0.0162862
36,0.0083821,36,-0.0153786
37,0.0077142,37,-0.0145258
38,0.00706319,38,-0.0137234
39,0.00644943,39,-0.0129679
40,0.00588436,40,-0.0122561
41,0.00537291,41,-0.0115853
42,0.0049155,42,-0.0109529
43,0.00450963,43,-0.0103568
44,0.00415103,44,-0.00979488
45,0.0038346,45,-0.00926531
46,0.00355494,46,-0.0087663
47,0.00330685,47,-0.00829617
48,0.00308552,48,-0.00785335
49,0.0028867,49,-0.00743632
50,0.00270672,50,-0.00704366
51,0.00254252,51,-0.006674
52,0.00239158,52,-0.00632604
53,0.00225188,53,-0.00599854
54,0.0021218,54,-0.00569033
55,0.00200009,55,-0.00540029
56,0.00188576,56,-0.00512737
57,0.00177806,57,-0.00487057
58,0.0016764,58,-0.00462894
59,0.00158033,59,-0.00440158
60,0.00148947,60,-0.00418766
61,0.00140352,61,-0.00398637
62,0.00132223,62,-0.00379698
63,0.00124537,63,-0.00361878
64,0.00117274,64,-0.00345111
65,0.00110414,65,-0.00329333
66,0.00103939,66,-0.00314488
67,0.000978306,67,-0.00300518
68,0.000920713,68,-0.00287374
69,0.000866437,69,-0.00275005
70,0.00081531,70,-0.00263366
71,0.000767165,71,-0.00252414
72,0.000721842,72,-0.00242108
73,0.000679185,73,-0.0023241
74,0.000639044,74,-0.00223284
75,0.000601276,75,-0.00214697
76,0.000565743,76,-0.00206616
77,0.000532315,77,-0.00199012
78,0.000500867,78,-0.00191857
79,0.000471284,79,-0.00185124
80,0.000443452,80,-0.00178788
81,0.000417269,81,-0.00172826
82,0.000392637,82,-0.00167216
83,0.000369461,83,-0.00161936
84,0.000347657,84,-0.00156968
85,0.000327141,85,-0.00152294
86,0.000307838,86,-0.00147895
87,0.000289674,87,-0.00143755
88,0.000272584,88,-0.0013986
89,0.000256502,89,-0.00136195
90,0.000241369,90,-0.00132746
91,0.000227129,91,-0.001295
92,0.000213729,92,-0.00126446
93,0.00020112,93,-0.00123572
94,0.000189255,94,-0.00120868
95,0.000178089,95,-0.00118323
96,0.000167582,96,-0.00115928
97,0.000157695,97,-0.00113675
98,0.000148391,98,-0.00111554
99,0.000139636,99,-0.00109559
100,0.000131398,100,-0.00107682
101,0.000123645,101,-0.00105915
102,0.00011635,102,-0.00104252
103,0.000109485,103,-0.00102688
104,0.000103026,104,-0.00101216
105,9.69E-05,105,-0.000998304
106,9.12E-05,106,-0.000985268
107,8.58E-05,107,-0.000973002
108,8.08E-05,108,-0.000961459
109,7.60E-05,109,-0.000950598
110,7.15E-05,110,-0.000940377
111,6.73E-05,111,-0.000930759
112,6.33E-05,112,-0.000921709
113,5.96E-05,113,-0.000913193
114,5.61E-05,114,-0.000905179
115,5.28E-05,115,-0.000897638
116,4.97E-05,116,-0.000890542
117,4.67E-05,117,-0.000883864
118,4.40E-05,118,-0.000877581
119,4.14E-05,119,-0.000871668
120,3.89E-05,120,-0.000866104
121,3.66E-05,121,-0.000860869
122,3.45E-05,122,-0.000855942
123,3.24E-05,123,-0.000851306
124,3.05E-05,124,-0.000846944
125,2.87E-05,125,-0.000842839
126,2.70E-05,126,-0.000838976
127,2.54E-05,127,-0.000835341
128,2.39E-05,128,-0.00083192
129,2.25E-05,129,-0.000828702
130,2.12E-05,130,-0.000825673
131,1.99E-05,131,-0.000822823
132,1.88E-05,132,-0.000820141
133,1.77E-05,133,-0.000817617
134,1.66E-05,134,-0.000815243
135,1.56E-05,135,-0.000813008
136,1.47E-05,136,-0.000810905
137,1.38E-05,137,-0.000808927
138,1.30E-05,138,-0.000807065
139,1.23E-05,139,-0.000805313
140,1.15E-05,140,-0.000803664
141,1.09E-05,141,-0.000802112
142,1.02E-05,142,-0.000800652
143,9.61E-06,143,-0.000799279
144,9.05E-06,144,-0.000797986
145,8.51E-06,145,-0.000796769
146,8.01E-06,146,-0.000795625
147,7.54E-06,147,-0.000794548
148,7.09E-06,148,-0.000793534
149,6.67E-06,149,-0.00079258
150,6.28E-06,150,-0.000791683
151,5.91E-06,151,-0.000790838
152,5.56E-06,152,-0.000790043
153,5.23E-06,153,-0.000789296
154,4.92E-06,154,-0.000788592
155,4.63E-06,155,-0.00078793
156,4.36E-06,156,-0.000787307
157,4.10E-06,157,-0.00078672
158,3.86E-06,158,-0.000786168
159,3.63E-06,159,-0.000785649
160,3.42E-06,160,-0.000785161
161,3.22E-06,161,-0.000784701
162,3.03E-06,162,-0.000784268
163,2.85E-06,163,-0.000783861
164,2.68E-06,164,-0.000783478
165,2.52E-06,165,-0.000783118
166,2.37E-06,166,-0.000782778
167,2.23E-06,167,-0.000782459
168,2.10E-06,168,-0.000782159
169,1.98E-06,169,-0.000781876
170,1.86E-06,170,-0.00078161
171,1.75E-06,171,-0.00078136
172,1.65E-06,172,-0.000781124
173,1.55E-06,173,-0.000780903
174,1.46E-06,174,-0.000780694
175,1.37E-06,175,-0.000780498
176,1.29E-06,176,-0.000780313
177,1.22E-06,177,-0.00078014
178,1.14E-06,178,-0.000779976
179,1.08E-06,179,-0.000779822
180,1.01E-06,180,-0.000779678
181,9.53E-07,181,-0.000779541
182,8.97E-07,182,-0.000779413
183,8.44E-07,183,-0.000779292
184,7.94E-07,184,-0.000779179
185,7.48E-07,185,-0.000779072
186,7.03E-07,186,-0.000778972
187,6.62E-07,187,-0.000778877
188,6.23E-07,188,-0.000778788
189,5.86E-07,189,-0.000778704
190,5.52E-07,190,-0.000778625
191,5.19E-07,191,-0.000778551
192,4.88E-07,192,-0.000778482
193,4.60E-07,193,-0.000778416
194,4.32E-07,194,-0.000778354
